Filing Date,Company Filing Name,Borrower Name,CIK Number,Film Num,EJV ID,Date EJV ID was re-checked to the BLUES,Form Type,Exhibit,Title Name,"Agreement Type (O, A, A&R, Warrant or Waiver)",Signing Date,Previous Date being Amended,Amendment number,"Loan $$ Amount (only needed for O, A/R)",Lead Arranger/Bookrunner,Does Loan Exist in Loan Connector,Loan Connector Deal ID,Does Borrower Exist in Loan Connector?,Does Filing Entity exist in Loan Connector?,Loan Doc #,Date document was captured from SEC,Date doc was uploaded to Loan Connector,Filing URL,SEC.gov URL,Analyst who recorded the document,Analyst who uploaded the document to Loan Connector,Date the filing was reviewed in Loan Connector for company presence,PixelEdge Comment,Refinitiv Comment
8/1/2023,AerSale Corp,,1754170,231128684,,8/15/2023,8-K,EX-1.1,,Amendment,,7/20/2018,4,,Wells Fargo Bank,No,,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1754170/000155837023012588/0001558370-23-012588-index.htm,https://www.sec.gov/Archives/edgar/data/1754170/000155837023012588/asle-20230725xex1d1.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,American Homes 4 Rent LP,,1716558,231130883,0x0010396996f0080a,8/2/2023,10-Q,EX-10.1,,Amendment,,4/15/2021,1,,Wells Fargo Bank,Yes,212649.0,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1716558/000156240123000099/0001562401-23-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1562401/000156240123000099/amh06302310qexhibit101.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Amplify Energy Corp,,1533924,231131977,0x001039903b4b09e4,8/15/2023,8-K,EX-10.1,,A&R,,11/2/2018,None,$135.00 ,KeyBank,Yes,310337.0,Yes,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1533924/000110465923086376/0001104659-23-086376-index.htm,https://www.sec.gov/Archives/edgar/data/1533924/000110465923086376/tm2322393d1_ex10-1.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Atlas Energy Solutions Inc,,1910950,231129617,,8/15/2023,8-K,EX-10.1,,Origination,,,None,$280.00 ,Stonebriar Commercial Finance LLC,No,,Yes,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1910950/000119312523199898/0001193125-23-199898-index.htm,https://www.sec.gov/Archives/edgar/data/1910950/000119312523199898/d525474dex101.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Avis Budget Group Inc,,723612,231129874,,8/15/2023,10-Q,EX-10.1,,Amendment,,7/9/2021,5,,JPMorgan Chase Bank,No,,Yes,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/723612/000072361223000048/0000723612-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361223000048/exhibit101-q2fy23.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Braemar Hotels & Resorts Inc,,1574085,231129439,,8/15/2023,8-K,EX-10.1,,Origination,,,None,$50.00 ,Bank of America,No,,Yes,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1574085/000110465923085983/0001104659-23-085983-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000110465923085983/tm2322435d1_ex10-1.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,CCC Intelligent Solutions Holdings Inc,,1818201,231132829,,8/15/2023,10-Q,EX-10.1,,Amendment,,9/21/2021,1,,Bank of America,No,,No,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1818201/000095017023036577/0000950170-23-036577-index.htm,https://www.sec.gov/Archives/edgar/data/1818201/000095017023036577/cccs-ex10_1.htm,Zunair Raza,Zunair Raza,8/2/2023,File Uploaded on account of CCC INFORMATION SERVICES INC,
8/1/2023,Claros Mortgage Trust Inc,,1666291,231131931,,8/15/2023,10-Q,EX-10.1,,Amendment,,8/9/2019,4,,JPMorgan Chase Bank,No,,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1666291/000095017023036482/0000950170-23-036482-index.htm,https://www.sec.gov/Archives/edgar/data/1666291/000095017023036482/cmtg-ex10_1.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Gartner Inc,,749251,231129491,,8/15/2023,10-Q,EX-10.1,,Amendment,,9/28/2020,1,,JPMorgan Chase Bank,No,,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/749251/000074925123000039/0000749251-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925123000039/it-06302023xex101xamendedc.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,MiMedx Group Inc,,1376339,231131625,,8/15/2023,10-Q,EX-10.2,,Amendment,,6/30/2020,2,,Hayfin Services LLP,No,,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1376339/000137633923000063/0001376339-23-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633923000063/ex102-amendmentno2tocredit.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Paycom Software Inc,,1590955,231131801,0x001039fa8642093a,8/15/2023,8-K,EX-10.1,,Amendment,,7/29/2022,2,,JPMorgan Chase Bank,Yes,293918.0,Yes,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1590955/000119312523200543/0001193125-23-200543-index.htm,https://www.sec.gov/Archives/edgar/data/1590955/000119312523200543/d535396dex101.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Select Medical Holdings Corp,,1320414,231131552,0x001039840d4109cc,8/2/2023,8-K,EX-10.1,,Amendment,,3/6/2017,8,,JPMorgan Chase Bank,Yes,219011.0,Yes,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1320414/000110465923086339/0001104659-23-086339-index.htm,https://www.sec.gov/Archives/edgar/data/1320414/000110465923086339/tm2322495d1_ex10-1.htm,Zunair Raza,Zunair Raza,8/2/2023,Signing date difference between agreement and LC,
8/1/2023,SPX Technologies Inc,,88205,231132780,0x001039cc06fb0834,8/2/2023,8-K,EX-10.1,,Amendment,,8/12/2022,None,,Bank of America,Yes,306465.0,No,No,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/88205/000110465923086426/0001104659-23-086426-index.htm,https://www.sec.gov/Archives/edgar/data/88205/000110465923086426/tm2321538d1_ex10-1.htm,Zunair Raza,Zunair Raza,8/2/2023,File Uploaded on account of SPX CORP,
8/1/2023,SS&C Technologies Holdings Inc,,1402436,231131704,,8/15/2023,10-Q,EX-10.1,,Amendment,,4/6/2018,1,,Credit Suisse AG,No,,No,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1402436/000095017023036455/0000950170-23-036455-index.htm,https://www.sec.gov/Archives/edgar/data/1402436/000095017023036455/ssnc-ex10_1.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Uber Technologies Inc,,1543151,231129583,,8/15/2023,8-K,EX-10.1,,Amendment,,6/26/2015,None,,Morgan Stanley Senior Funding Inc,No,,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1543151/000154315123000021/0001543151-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1543151/000154315123000021/uberq2238kexhibit101.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Ultra Clean Holdings Inc,,1275014,231129136,,8/15/2023,8-K,EX-10.1,,Amendment,,8/27/2018,5,,Barclays Bank PLC,No,,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1275014/000095017023036082/0000950170-23-036082-index.htm,https://www.sec.gov/Archives/edgar/data/1275014/000095017023036082/uctt-ex10_1.htm,Zunair Raza,Zunair Raza,8/2/2023,,
8/1/2023,Agree Realty Corp,,917251,231132081,0x0010395b5242094f,8/15/2023,8-K,EX-10.1,,Origination,,,None,$350.00 ,PNC Bank,Yes,310022.0,Yes,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/917251/000110465923086389/0001104659-23-086389-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000110465923086389/tm2322508d1_ex10-1.htm,Khizer Shahid,Khizer Shahid,8/2/2023,,
8/1/2023,Ares Strategic Income Fund,,1918712,231131633,,8/15/2023,8-K,EX-10.1,,Origination,,,None,$500.00 ,Societe Generale,No,,No,Yes,,8/2/2023,8/2/2023,https://www.sec.gov/Archives/edgar/data/1918712/000110465923086352/0001104659-23-086352-index.htm,https://www.sec.gov/Archives/edgar/data/1918712/000110465923086352/tm2321871d2_ex10-1.htm,Khizer Shahid,Khizer Shahid,8/2/2023,,
