Filing Date,Company Filing Name,Borrower Name,CIK Number,Film Num,EJV ID,Date EJV ID was re-checked to the BLUES,Form Type,Exhibit,Title Name,"Agreement Type (O, A, A&R, Warrant or Waiver)",Signing Date,Previous Date being Amended,Amendment number,"Loan $$ Amount (only needed for O, A/R)",Lead Arranger/Bookrunner,Does Loan Exist in Loan Connector,Loan Connector Deal ID,Does Borrower Exist in Loan Connector?,Does Filing Entity exist in Loan Connector?,Loan Doc #,Date document was captured from SEC,Date doc was uploaded to Loan Connector,Filing URL,SEC.gov URL,Analyst who recorded the document,Analyst who uploaded the document to Loan Connector,Date the filing was reviewed in Loan Connector for company presence,PixelEdge Comment,Refinitiv Comment
Documents to be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2023,Amyris Inc,,1365916,231290614,,,8-K,EX-10.1,Amendment No 2 To Senior Secured Super Priority Debtor In Possession Loan Agreement,Amendment,9/27/2023,8/9/2023,2,,Euagore Llc,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1365916/000136591623000119/0001365916-23-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591623000119/ax20230928xex101xdipcredit.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Catalent Inc,,1596783,231286106,,,8-K,EX-10.1,Amendment No 9 To Amended And Restated Credit Agreement,Amendment,9/27/2023,5/20/2014,9,,JPMorgan Chase Bank,No,,Yes,No,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1596783/000119312523244686/0001193125-23-244686-index.htm,https://www.sec.gov/Archives/edgar/data/1596783/000119312523244686/d559301dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Chuy's Holdings Inc,,1524931,231289415,,,8-K,EX-10.1,Amended And Restated Credit Agreement,A&R,9/27/2023,7/30/2021,,$25.00 ,JPMorgan Chase Bank,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1524931/000152493123000074/0001524931-23-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493123000074/ex101-amendedandrestatedcr.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Fuller H B Co,,39368,231289069,0x0010390107430941,10/2/2023,10-Q,EX-10.1,Amendment No 1 To Second Amended And Restated Credit Agreement,Amendment,8/16/2023,2/15/2023,1,,JPMorgan Chase Bank,Yes,302270,Yes,No,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/39368/000143774923027018/0001437749-23-027018-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774923027018/ex_571016.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,J M Smucker Co,,91419,231285768,0x00103942a6680988,10/2/2023,8-K,EX-10.1,Term Loan Credit Agreement,Origination,9/27/2023,,,$800.00 ,Bank of America,Yes,311585,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/91419/000119312523244125/0001193125-23-244125-index.htm,https://www.sec.gov/Archives/edgar/data/91419/000119312523244125/d532147dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Knowles Corp,,1587523,231285575,,,8-K,EX-10.1,Amendment No 1 To Amended And Restated Credit Agreement,Amendment,9/25/2023,2/8/2023,1,,JPMorgan Chase Bank,No,,Yes,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1587523/000158752323000077/0001587523-23-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1587523/000158752323000077/exhibit101tokn8k092723.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Morgan Stanley Direct Lending Fund,,1782524,231289989,,,8-K,EX-10.01,Third Amendment To The Revolving Credit And Security Agreement,Amendment,9/22/2023,10/14/2020,3,,BNP Paribas,No,,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1782524/000178252423000030/0001782524-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1782524/000178252423000030/thirdamendmenttodlfrevolvi.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Ncr Atleos LLC,,1974138,231285852,0x001039ba8d6d095e,10/2/2023,8-K,EX-10.1,Credit Agreement,Origination,9/27/2023,,,"$2,085.00 ",Bank of America,Yes,312174,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/1974138/000119312523244175/0001193125-23-244175-index.htm,https://www.sec.gov/Archives/edgar/data/1974138/000119312523244175/d478950dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
9/28/2023,Ncr Corp,,70866,231285850,,,8-K,EX-10.1,Credit Agreement,Origination,9/27/2023,,,"$2,085.00 ",Bank of America,No,,No,Yes,,10/2/2023,10/2/2023,https://www.sec.gov/Archives/edgar/data/70866/000119312523244174/0001193125-23-244174-index.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312523244174/d555514dex101.htm,Khizer Shahid,Khizer Shahid,10/2/2023,,
